,Antwort 0,Antwort 1,Antwort 2,Antwort 3,Index richtige Antwort
Aus wie vielen Bytes besteht ein Kilobyte (Dezimalpraefix)?,768,1000,1012,1024,1
Was bedeutet CD-ROM,Compact Disk Randomize Memory,Compact Disk Read Only Memory,Compact Disk Read Ones Memory,Compact Disk Read Often Memory,1
Womit beschaeftig sich die Datenschutzrichtlinie der EU?,Massnahmen gegen Datenverlust auf dem eigenen Rechner,Schutz vor illegalen Downloads aus dem Internet,Schutz vor Missbrauch persoenlicher Daten,Maßnahmen gegen Datenverlust bei der Internetverbindung,2
Welche Art von Computerviren gibt es nicht?,Bootsektor Viren,Makroviren,Dateiviren,Monitorviren,3
"Was legt die Umgebungsvariable ""CLASSPATH"" fest?",Das Verzeichnis in dem alle .class-Dateien liegen müssen.,Das Startverzeichnis unter dem Bytecodedateien gesucht werden.,Das Package welches von Klassen importiert werden muss.,Das Verzeichnis in dem sich die Main.java befinden muss.,1
Wie sind die Pyramiden laut Dr. Axel Stoll angeordnet?,Eine nach innen gerichtete logarithmische Spirale.,Konzentrische Ringe.,Sternenbild des Orion.,Willkür.,0
Wie viele Monate haben 28 Tage?,alle,2,1,3,0
Welcher Befehl zeigt den Verzeichnisinhalt im Command Prompt an?,dir,mir,wir,tir,0
Der Name welcher Netzwerktechnologie stammt von dem eines Dänischen Königs?,Dangles,Bluetooth,WLAN,Oracle,1
Wieviele primitive Datentypen gibt es in Java?,4,5,7,8,3
Wann erschien die Programmiersprache Java?,1991,1993,1995,1997,2
Welches ist keine Bildschirmabkürzung?,LCD,TFT,CRT,FTP,3
Welche ist die beste Zahl?,1,5.642,73,7353,2
Welche Programmierungssprache ist die beste?,Perl,Java,C,Python,2
Welches ist eine Programmierungssprache?,HTML,CSS,SQL,PL/SQL,3
Welche Sprache ist die schwerste?,Klingonisch,Russisch,Deutsch,Chinesisch,2
Wie hoch würde ein Stück Papier reichen wenn man es 42 mal falten könnte?,bis zum Mount Everest,ca. 10 cm,so hoch wie ein LKW,bis zum Mond,3
Wie groß ist der Wertebereich eines Integers in Java?,-2^63...2^63-1,-2^31...2^31-1,-2^7...2^7-1,-2^15...2^15-1,1
Wie oft wurde Deutschland Fußball Weltmeister?,1,2,3,4,2
Welche der folgenden Programmiersprachen ist nicht objektorientiert?,PHP,C#,C,Java,2
Wie viele Transistoren besitzt ein CMOS-Inverter?,1,2,3,4,1
Von welcher Klasse erbt in Java jede andere Klasse?,Exception,Integer,Object,Abhängig von der verwendeten Version,2
Welche dieser Zahlen ist eine Primzahl?,111,113,117,119,1
Welche dieser Abkürzungen ist kein Protokoll?,FTP,GAP,HTTP,SMTP,1
Was ist der Affengriff?,Strg+Shift+Entf,Shift+Alt+Einfg,Strg+Alt+Entf,Strg+Alt+Enter,2
Welches Smartphone Spiel ist nicht mehr im Google Play Store verfügbar?,Flappy Bird,Candy Crush Saga,Flappy48,2048,0
Welches Smartphone-Betriebssystem hat den größten Marktanteil?,Android,iOS,Linux,Symbian,0
Wie schwer sind die Java-Übungen?,easy,medium,hard,expert,3
Wie viele verschiedene Werte können Boolsche Variablen annehmen.,1,2,3,4,2
Welche Firma stand vor Oracle hinter Java?,Microsoft,Sun,Adobe,Intel,1
Wie viele Befehle gibt es in der Programmiersprache Brainfuck?,30,ca. 320,42,8,3
Was ist unteranderem auf den Namensgeber unserer Uni (Gottfried Leibniz) zurückzuführen?,Das Rad,Das Dualsystem,Die Fernbedienung,Der Fotoapparat,1
Was ist das Linuxmaskottchen für ein Tier?,Elefant,Maus,Pinguin,Es ist kein Tier.,2
Welches Mobiltelefon gilt als unzerstörbar?,iPhone 4S,Nokia 6310,HTC One,Motorola Moto G,1
Sieht der Prof aus wie der Hausmeister?,Ja,Nein,Vielleicht,Ein bisschen.,0
Wer ist der Vater von Eric C.?,Chefkoch,Mr. Marsh,Erics Mutter,Big Gay Al,2
Welcher Befehl ist kein valider Ook!-Befehl?,Ook.,Ook?,Ook:,Ook!,2
Wie ist der Informationsgehalt einer Nachricht definiert?,Je wahrscheinlicher desto größer.,Je neuer desto größer.,Je unwahrscheinlicher desto größer.,Je älter desto größer.,2
Wer schrieb den ersten Compiler?,Albert Einstein,Konrad Zuse,Grace Hopper,Alan Turing,2
Sieht der Übungleiter aus wie Tech-Nick?,Ja,Nein,Vielleicht,Eher wie Zach Galifianakis,0
Welche ist keine Shell?,bash,ksh,fpsh,sh,2
Wie heißt Quagmire aus Family Guy mit Vornamen?,Peter,Giggedi Gig,Glen,Meg,2
"Welche Person hat in ""The Big Bang Theory"" keinen Doktortitel?",Sheldon Cooper,Leonard Hofstadter,Howard Wolowitz,Rajesh Koothrappali,2
"Was bedeutet ""CMS""?",Content Management System,Contact Management System,Call Me Slut,Cyber Märchen Sex,0
Welches Buch schrieb Thomas Mann?,Buddenbrocks,Steppenwolf,Faust,Ilias,0
Wer gewann 2011/12 die Champions League ? ,Chelsea,Bayern München ,Barcelona,Real Madrid ,0
Wie lautet der Name des Rechenzentrums an der Lebniz Uni Hannover?,UniIT,RRZN,Rechenzentrum der LUH,LUIS,3
Wer ist Deutschlands frechster Frechdachs?,Klaas Heufer-Umlauf,Joko Winterscheidt,Olli Schulz,ich,1
Welche Zahl ist perfekt?,28,12,100,30,0
Wie war der Gesamtscore des Halbfinal-Spiels der Champions League(13/14) 'Real Madrid vs FC Bayern'?,2-0,3-0,4-0,5-0,2
Wie viele Tore hat FC Bayern insgesamt im Halbfinal-Spiel der CL (13/14) gegen Real Madrid kassiert?,3,0,5,7,1
